"ccn","impute_discharge","impute_drg100","impute_drg101","impute_neuro1","impute_neuro2","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2","zip","estimation"
"310096",0,0,0,0,0,1162,0,0,114.7,301,0,3,2,7102,160
"310110",0,0,0,0,0,2092,0,0,153,153,0,5,1,8690,194
"310111",0,0,0,0,0,3706,12,26,252,288,0,16,4,7728,628
"310112",0,0,0,0,0,2539,12,19,160.9,207,0,6,3,7733,425
"310113",0,0,0,0,0,2171,0,11,159.1,247.4,0,4,3,8050,287
"310115",0,0,0,0,0,1160,0,0,68,95,0,1,6,7840,155
"310118",0,0,0,1,1,235,0,0,103,326.7,0,3,1,7094,108
"310130",0,0,0,0,0,1121,0,0,74.3,130,0,1,3,7675,120
"312014",1,1,1,1,1,1390,0,0,101,101,0,5,1,7977,136
"312017",1,1,1,1,1,54,0,0,50,50,0,2,1,8701,37
"312018",1,1,1,1,1,240,0,0,25,75,0,1,1,7207,30
"312019",1,1,1,1,1,1006,0,0,55,62,0,2,2,7662,91
"312020",1,1,1,1,1,399,0,0,104,186,0,3,2,7801,112
"312022",1,1,1,1,1,443,0,0,53,69,0,1,3,8046,77
"312023",1,1,1,1,1,415,0,0,30,53,0,1,3,8401,63
"312024",1,1,1,1,1,266,0,0,63,136,0,2,1,7107,62
"313300",1,1,1,1,1,495,0,0,68,68,0,2,2,8901,78
"313302",1,1,1,1,1,50,0,0,18,18,0,1,1,8053,12
"320002",0,0,0,0,0,2378,0,12,176,201,0,8,1,87505,299
"320003",0,0,0,1,1,147,0,0,5.9,37,0,2,1,87701,18
"320004",0,0,0,0,1,657,0,0,55,109,0,4,4,88310,121
"320005",0,0,0,0,0,2713,14,12,164.5,230,0,5,2,87401,395
"320006",0,0,0,0,0,1076,0,0,70.7,122,0,2,1,88201,95
"320009",0,0,0,0,0,3028,11,0,345,345,0,6,3,87102,448
"320011",0,0,0,1,1,271,0,0,32,54,0,1,1,87532,32
"320016",0,0,0,1,1,247,0,0,11.3,26,0,1,1,88061,18
"320017",0,0,0,0,0,340,0,0,173,173,0,1,3,87109,143
"320018",0,0,0,0,1,1612,0,0,129,192.1,0,5,4,88011,209
"320021",0,0,0,0,0,8471,31,40,187,798,0,24,3,87106,1062
"320022",0,0,0,0,1,593,0,0,101,121,0,1,2,88101,99
"320030",0,0,0,0,1,209,0,0,19,39,0,1,1,88210,21
"320033",0,0,0,1,1,65,0,0,12,32,0,1,1,87544,12
"320038",0,0,0,0,0,323,0,0,35,77.1,0,1,1,87301,38
"320059",0,0,0,0,1,169,0,0,25.1,33,0,3,4,87420,74
"320060",0,0,0,0,1,11,0,0,15,33.9,0,1,2,87327,25
"320061",0,0,0,0,1,267,0,0,54.7,69.7,0,3,2,87301,69
"320063",0,0,0,1,1,371,0,0,58.4,99,0,3,2,88220,79
"320065",0,0,0,1,1,208,0,0,18,69.5,0,2,3,88240,57
"320067",1,1,1,1,1,96,0,0,13.9,14,0,2,2,88435,31
"320074",0,0,0,1,1,382,0,0,88,89,0,3,1,87114,79
"320084",0,0,0,1,1,51,0,0,12,26,0,2,1,88130,16
"320085",0,0,0,0,0,2028,0,17,164.3,174,0,2,2,88011,280
"320086",0,0,0,0,1,222,0,0,27,34,0,2,1,88201,31
"320089",0,0,0,0,0,413,0,0,72,96,0,2,5,87144,121
"320090",0,0,0,0,0,219,0,0,28.2,54,0,2,2,87507,47
"320091",1,1,1,1,1,16,0,0,16.3,46,0,2,1,88001,19
"320092",1,1,1,1,1,13,0,0,11,11,0,1,1,87114,7
"321300",1,1,1,1,1,111,0,0,15,25,0,1,2,87901,27
"321301",1,1,1,1,1,193,0,0,24,33.1,0,1,1,87801,22
"321302",1,1,1,1,1,576,0,0,14.3,18,0,1,1,88401,31
"321304",1,1,1,1,1,121,0,0,26.4,29,0,2,1,88415,26
"321305",1,1,1,0,0,29,0,0,25,31.7,0,2,1,88260,22
"321306",1,1,1,0,0,152,0,0,25,49,0,1,2,88345,37
"321307",1,1,1,1,1,51,0,0,18,25,0,1,2,87740,27
"321308",1,1,1,0,1,123,0,0,12.7,25,0,2,2,87020,32
"321309",1,1,1,1,1,306,0,0,24.2,34,0,7,1,88030,61
"321310",1,1,1,1,1,75,0,0,24,47,0,2,1,87571,25
"321311",1,1,1,1,1,230,0,0,12.3,38,0,1,1,88061,19
"322002",1,1,1,1,1,1107,0,0,61,61,0,2,2,87102,98
"322003",1,1,1,1,1,75,0,0,32,32,0,2,1,87108,27
"322004",1,1,1,1,1,351,0,0,20,22.9,0,1,1,88011,25
"330003",0,0,0,1,1,132,0,0,34,58,0,1,1,12204,28
"330004",0,0,0,1,1,2122,12,31,115,144,0,9,3,12401,456
"330005",0,0,0,0,0,7747,38,102,440.5,1082,0,46,4,14210,1682
"330006",0,0,0,0,0,586,0,0,105,151.3,0,16,3,10701,204
"330008",0,0,0,0,1,112,0,0,64,64,0,2,1,14569,48
"330009",0,0,0,0,0,1412,14,28,273,546,0,20,2,10456,600
"330011",0,0,0,0,0,2298,0,0,309,309,0,3,5,13905,338
"330014",0,0,0,0,0,1353,16,20,339,462,0,17,3,11418,589
"330019",0,0,0,0,1,2923,11,18,134,189,0,3,1,11229,369
"330023",0,0,0,0,0,7459,36,22,408,433,0,21,6,12601,1053
"330027",0,0,0,0,0,2254,0,47,350,530,0,14,4,11554,665
"330028",0,0,0,0,0,1268,12,22,296,448,0,19,4,10310,573
"330030",0,0,0,1,1,857,0,0,103,158,0,2,5,14513,160
"330033",0,0,0,0,0,149,0,0,15,34.6,0,1,3,13815,43
"330044",0,0,0,0,0,2711,28,26,0,339,0,8,5,13413,544
"330045",0,0,0,0,0,6022,19,35,330,387.3,0,8,5,11743,823
"330047",0,0,0,0,0,859,0,0,92,118,0,5,4,12010,154
"330049",0,0,0,0,0,1486,0,27,79,105,0,5,6,12572,330
"330055",0,0,0,0,0,6584,29,45,613.6,760,0,18,7,11355,1223
"330056",0,0,0,0,1,1475,16,25,263,432,0,4,1,11201,477
"330057",0,0,0,0,0,6344,13,12,470,529.3,0,14,10,12208,869
"330058",0,0,0,0,1,807,0,0,52.1,83.9,0,3,3,14456,104
"330065",0,0,0,0,0,451,0,0,124,148,0,5,1,14302,117
