"ccn","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2"
"171375",139,0,0,25.5,46,0,2,1
"171376",175,0,0,16,43,0,1,1
"171377",208,0,0,16,16,0,1,2
"171378",2575,0,11,12.5,28,0,4,2
"171379",55,0,0,6.9,27.6,0,2,1
"171380",217,0,0,40,40,0,1,1
"171381",112,0,0,18,25,0,2,1
"171382",220,0,0,24,25,0,1,1
"171383",562,0,0,16.3,34.5,0,2,2
"171384",375,0,0,69,69,0,2,2
"171385",121,0,0,15,25,0,2,1
"172004",241,0,0,34,34,0,1,1
"172005",239,0,0,40,40,0,1,1
"172007",64,0,0,23,48,0,2,1
"173300",431,0,0,28,28,0,1,3
"17T120",18,0,0,7,7,0,2,1
"180001",1542,0,16,173,190,0,2,1
"180002",883,0,0,90,90,0,3,3
"180004",292,0,0,90,90,0,3,1
"180005",909,0,0,172,172,0,1,1
"180009",4774,0,18,385,385,0,11,4
"180010",3606,20,33,430.1,446,0,8,1
"180011",1460,0,0,203,203,0,2,3
"180012",3720,15,18,270,386,0,7,2
"180013",4614,18,40,316,316,0,8,4
"180016",3548,0,0,102,102,0,5,2
"180017",1588,0,0,134,164,0,1,8
"180018",1056,0,0,159,159,0,4,1
"180019",520,0,0,65,80,0,1,4
"180020",251,0,0,55,55,0,3,1
"180021",14,0,0,8,20,0,2,1
"180024",209,0,0,72.4,75,0,2,2
"180025",524,0,0,40,47.7,0,2,8
"180027",708,0,0,140,140,0,4,1
"180029",3025,11,11,342,342,0,5,4
"180035",6559,12,32,517,597,0,21,3
"180036",2052,0,0,58.9,102,0,1,3
"180038",4648,23,28,454,454,0,11,2
"180040",5971,0,17,298,783.7,0,9,21
"180043",269,0,0,49,51.9,0,1,1
"180044",5188,35,26,370,375,0,5,2
"180045",2098,0,24,177,218,0,4,10
"180046",110,0,0,58,64,0,1,1
"180048",2240,0,0,200.1,271,0,2,4
"180049",745,0,0,103,113,0,1,1
"180050",974,0,0,120,120,0,1,1
"180051",1108,0,0,126,126,0,2,2
"180053",152,0,0,40.9,12,0,2,1
"180056",695,0,0,180,180,0,1,3
"180064",345,0,0,70,71.3,0,2,3
"180066",186,0,0,44.9,60,0,6,1
"180067",8179,42,82,945,995,1,49,1
"180069",591,0,0,113,113,0,1,1
"180070",543,0,0,59,59,0,1,1
"180078",404,0,0,72,72,0,1,2
"180079",175,0,0,74,74,0,1,1
"180080",2158,0,0,180,189,0,7,2
"180087",626,0,0,123,123,0,1,1
"180088",10999,50,97,1571,1721,1,42,6
"180092",661,0,0,79,79,0,2,1
"180093",1435,0,0,226,233,0,2,3
"180095",96,0,0,43,43,0,2,1
"180101",181,0,0,71,75,0,1,1
"180102",3716,0,19,324,358,0,7,2
"180103",4968,24,35,434,488,0,15,2
"180104",3431,12,12,241,260,0,5,4
"180105",379,0,0,49,49,0,1,1
"180106",129,0,0,20,20,0,1,2
"180115",193,0,0,38,38,0,1,1
"180116",1003,0,0,107,130,0,1,1
"180124",1891,0,0,184.6,211,0,2,8
"180127",1118,0,11,163.7,174,0,3,6
"180128",374,0,0,66,66,0,3,1
"180130",8864,20,26,519,637,0,13,4
"180132",2914,0,0,260,295,0,7,3
