"ccn","impute_discharge","impute_drg100","impute_drg101","impute_neuro1","impute_neuro2","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2","zip"
"440006",0,0,0,0,1,3067,37,37,691,736,0,10,8,"37207"
"440007",0,0,0,1,1,167,0,0,40,57,0,1,1,"37355"
"440008",0,0,0,1,1,56,0,0,27,31,0,1,1,"38351"
"440009",0,0,0,0,0,1658,0,0,128,146,0,1,4,"38555"
"440010",0,0,0,1,1,66,0,0,54,54,0,1,1,"38485"
"440011",0,0,0,0,0,2738,0,23,305,337,0,9,1,"37804"
"440012",0,0,0,0,0,3795,18,24,357,357,0,8,2,"37620"
"440015",0,0,0,0,0,7913,31,39,799,839,0,26,4,"37920"
"440016",0,0,0,1,1,209,0,0,56,74.6,0,2,1,"38344"
"440017",0,0,0,0,0,4052,11,17,476.7,479,0,9,2,"37662"
"440018",0,0,0,0,0,518,0,0,92,92,0,1,1,"37643"
"440020",0,0,0,1,1,322,0,0,23,44.1,0,2,3,"38478"
"440025",0,0,0,1,1,147,0,0,52.7,47.4,0,2,1,"37745"
"440029",0,0,0,0,0,2263,0,0,194,217,0,6,5,"37067"
"440030",0,0,0,1,1,1220,0,0,135,146,0,3,2,"37814"
"440031",0,0,0,0,0,518,0,0,63,63,0,1,1,"37748"
"440032",0,0,0,1,1,63,0,0,24,41,0,1,1,"37857"
"440033",0,0,0,1,1,252,0,0,54.7,90.4,0,1,3,"37766"
"440034",0,0,0,0,0,2426,0,0,196,215,0,4,1,"37830"
"440035",0,0,0,0,0,2447,0,0,301,351,0,1,2,"37040"
"440039",0,0,0,0,0,11827,46,89,1020.3,1298.4,1,93,1,"37232"
"440040",0,0,0,1,1,45,0,0,44,44,0,2,1,"37096"
"440046",0,0,0,0,0,1355,0,0,194,194,0,1,3,"37055"
"440048",0,0,0,0,0,13722,48,62,613.4,1063.9,0,30,13,"38120"
"440049",1,0,0,0,0,8075,54,74,1167.1,1445.9,1,23,15,"38104"
"440050",0,0,0,1,1,265,0,0,142,142,0,2,2,"37745"
"440053",0,0,0,0,0,4930,18,35,338,392,0,7,3,"37129"
"440056",0,0,0,0,0,432,0,0,53,78,0,1,3,"37760"
"440057",0,0,0,1,1,142,0,0,39,46,0,2,1,"37879"
"440058",0,0,0,0,0,645,0,0,93,99,0,1,2,"37398"
"440059",0,0,0,0,0,5457,16,18,354,377,0,8,2,"38501"
"440060",0,0,0,1,1,92,0,0,45,49,0,2,1,"38358"
"440061",0,0,0,1,1,217,0,0,56,65,0,1,1,"38237"
"440063",0,0,0,0,0,4983,0,31,468,618,0,19,6,"37604"
"440065",0,0,0,0,0,316,0,0,97,142,0,1,1,"37172"
"440068",0,0,0,0,0,464,0,0,80.9,91,0,1,1,"37371"
"440070",0,0,0,1,1,40,0,0,19.3,22,0,1,2,"38363"
"440072",0,0,0,1,1,1300,0,0,164.1,165,0,3,1,"38024"
"440073",0,0,0,0,0,3855,0,19,309,420,0,5,1,"38401"
"440081",0,0,0,1,1,614,0,0,92,120,0,2,1,"37862"
"440082",0,0,0,0,0,6639,18,20,335,379,0,19,7,"37205"
"440083",0,0,0,1,1,157,0,0,20,35,0,1,1,"38556"
"440084",0,0,0,1,1,219,0,0,70,78,0,1,4,"37874"
"440091",0,0,0,0,0,8123,18,0,581.4,662,0,15,5,"37404"
"440102",0,0,0,1,1,150,0,0,46,58,0,2,1,"37334"
"440104",0,0,0,0,0,8304,82,85,755,823,0,23,1,"37403"
"440109",0,0,0,1,1,276,0,0,64,64,0,1,1,"38372"
"440110",0,0,0,1,1,346,0,0,50,55,0,1,3,"37772"
"440111",1,1,1,1,1,1468,0,0,59,95,0,3,3,"37208"
"440120",0,0,0,0,0,3023,0,0,251.9,360,0,5,7,"37849"
"440125",0,0,0,0,0,3244,25,16,335,405,0,12,6,"37916"
"440130",0,0,0,1,1,656,0,0,166,166,0,5,2,"38261"
"440131",0,0,0,1,1,232,0,0,96,173.7,0,1,4,"38019"
"440132",0,0,0,1,1,834,0,0,66,100,0,1,1,"38242"
"440133",0,0,0,1,1,2888,0,0,315.1,371,0,17,10,"37236"
"440137",0,0,0,1,1,174,0,0,74,74,0,1,1,"37160"
"440144",0,0,0,0,1,848,0,0,129,137,0,2,5,"37388"
"440148",0,0,0,1,1,47,0,0,27,27,0,1,1,"37166"
"440150",0,0,0,0,1,2964,25,30,281,425,0,4,2,"37076"
"440151",0,0,0,1,1,413,0,0,56,76,0,1,2,"37110"
"440152",0,0,0,0,0,484,0,0,323.4,375,0,8,1,"38103"
"440153",0,0,0,0,1,205,0,0,48,48,0,1,1,"37821"
"440156",0,0,0,0,0,3292,0,0,342,511,0,6,3,"37404"
"440159",1,1,1,1,1,1326,11,11,132,164,0,6,5,"38118"
"440161",0,0,0,0,0,7033,22,15,815,815,0,15,5,"37203"
"440173",0,0,0,0,0,5387,0,0,378,424,0,17,7,"37923"
"440175",0,0,0,0,1,405,0,0,89,89,0,1,8,"38464"
"440176",0,0,0,1,1,524,0,0,168,174,0,2,1,"37660"
"440180",0,0,0,1,1,25,0,0,24,24,0,2,1,"37762"
"440183",0,0,0,0,0,2722,0,26,183.1,342,0,2,2,"38119"
"440184",0,0,0,1,1,631,0,0,74,94,0,1,5,"37604"
"440185",0,0,0,0,1,1919,0,0,201.3,259,0,5,9,"37311"
"440187",0,0,0,1,1,491,0,0,84.4,91,0,1,2,"38570"
"440192",0,0,0,1,1,96,0,0,21,42,0,1,1,"38583"
"440193",0,0,0,0,0,576,0,0,97,137,0,1,1,"37087"
"440194",0,0,0,1,1,1348,0,0,212,212,0,4,2,"37075"
"440197",0,0,0,0,0,712,0,0,212,212,0,2,1,"37211"
"440200",0,0,0,0,1,33,0,0,40,54,0,1,2,"37190"
"440218",0,0,0,0,0,584,0,0,22.1,25,0,9,9,"37203"
"440227",0,0,0,0,1,959,0,0,253,253,0,2,7,"37167"
"440228",0,0,0,1,1,1949,11,20,186,202,0,2,2,"38133"
"440231",1,1,1,1,1,1857,22,16,89,248.9,0,1,2,"37129"
"440235",0,0,0,1,1,144,0,0,12,24,0,1,1,"37841"
"441300",1,1,1,1,1,40,0,0,12,12,0,2,2,"37033"
"441301",1,1,1,1,1,13,0,0,12.6,16,0,1,1,"37074"
"441303",1,1,1,0,1,323,0,0,31,31,0,1,1,"37185"
"441304",1,1,1,1,1,71,0,0,6,6,0,2,1,"37683"
"441305",1,1,1,1,1,273,0,0,24.1,35,0,1,1,"37083"
"441306",1,1,1,1,1,119,0,0,32,32,0,6,2,"37367"
"441307",1,1,1,1,1,133,0,0,42,47,0,1,1,"37030"
"441309",1,1,1,0,0,144,0,0,21,30,0,1,2,"37091"
"441310",1,1,1,1,1,1064,0,0,42,44,0,1,1,"37321"
"441311",1,1,1,1,1,121,0,0,20,20,0,1,2,"37015"
"441313",1,1,1,1,1,26,0,0,15,15,0,1,2,"37869"
"441314",1,1,1,1,1,323,0,0,23,48,0,1,1,"38063"
"441316",1,1,1,1,1,106,0,0,37,37,0,2,1,"38320"
"441320",1,1,1,1,1,443,0,0,35,35,0,1,3,"38008"
"441322",1,1,1,1,1,534,0,0,30,30,0,1,1,"37061"
"441323",1,1,1,1,1,186,0,0,12,25,0,2,1,"37841"
"442006",1,1,1,1,1,173,0,0,17.1,60,0,2,1,"37218"
"442007",1,1,1,1,1,386,0,0,40,49,0,2,1,"37402"
"442010",1,1,1,1,1,2297,21,15,35,35,0,4,11,"38120"
"442011",1,1,1,1,1,122,0,0,30,100,0,1,1,"37203"
"442014",1,1,1,1,1,109,0,0,39,39,0,1,1,"38104"
"442015",1,1,1,1,1,612,0,0,33,63,0,1,2,"37849"
"442016",1,1,1,1,1,82,0,0,33,35,0,2,1,"37620"
"442017",1,1,1,1,1,77,0,0,18,30,0,2,1,"38103"
"443302",1,1,1,1,1,1298,0,0,85,85.6,0,1,2,"38105"
"443303",1,1,1,1,1,3500,18,30,179,191,0,14,4,"37916"
"445521",1,1,1,1,1,13,0,0,11.9,19,0,2,1,"38103"
"44L009",1,1,1,1,1,111,0,0,0,108,0,1,1,"38125"
"44T152",1,1,1,1,1,562,0,0,23,23,0,2,1,"38103"
"450002",0,0,0,1,1,904,0,0,178,293.6,0,2,3,"79902"
"450007",0,0,0,0,0,1238,0,0,94.9,165.4,0,3,4,"78028"
"450010",0,0,0,0,1,5543,34,25,224.4,364,0,14,8,"76301"
"450011",0,0,0,0,0,3558,15,18,259,392.6,0,7,1,"77802"
"450015",0,0,0,0,0,2420,0,36,467.7,861.6,1,28,25,"75235"
"450018",0,0,0,0,0,4295,20,20,297.3,770.9,1,35,2,"77555"
"450021",0,0,0,0,0,10210,45,53,608.6,909.4,1,23,4,"75246"
"450023",0,0,0,0,0,1504,0,0,151,405.6,0,1,3,"77901"
"450024",0,0,0,0,0,869,0,18,362.6,466.1,0,21,1,"79905"
"450028",0,0,0,0,0,1322,0,15,144.6,243.3,0,2,2,"78520"
"450029",0,0,0,0,1,2654,14,18,193.7,313.6,0,3,10,"78044"
"450032",0,0,0,0,0,4311,25,22,21.9,306.7,0,2,4,"75601"
"450033",0,0,0,0,0,2855,22,39,363.1,477.4,0,10,2,"78550"
"450034",0,0,0,0,0,3355,0,0,219.7,339.1,0,4,1,"77702"
"450035",0,0,0,0,0,465,0,0,128.9,315.4,0,1,2,"77002"
"450039",0,0,0,0,1,2086,22,19,256.1,617.6,0,15,7,"76104"
"450040",0,0,0,0,0,6591,20,34,269,424.6,0,10,4,"79410"
"450042",0,0,0,0,0,4267,16,21,205,310.3,0,4,1,"76712"
"450044",0,0,0,0,0,6308,0,0,562.4,807,1,65,9,"75390"
"450046",0,0,0,0,0,4299,15,18,720.1,1706,0,8,1,"78404"
"450051",0,0,0,0,0,2504,19,12,251,361.9,0,8,1,"75203"
"450054",0,0,0,0,0,8664,53,85,533,731,1,51,7,"76508"
"450055",0,0,0,1,1,72,0,0,15.9,56.6,0,2,1,"79556"
"450056",0,0,0,0,0,2865,19,18,254.1,426.9,0,14,9,"78705"
